zip_code,latitude,longitude,borough
10001,40.750633,-73.997177,Manhattan
10002,40.715775,-73.986212,Manhattan
10003,40.731829,-73.989181,Manhattan
10004,40.68863,-74.018244,Manhattan
10005,40.706027,-74.008835,Manhattan
10006,40.709614,-74.012954,Manhattan
10007,40.713848,-74.007755,Manhattan
10009,40.726399,-73.978631,Manhattan
10010,40.739065,-73.982255,Manhattan
10011,40.742039,-74.00062,Manhattan
10012,40.725581,-73.998078,Manhattan
10013,40.720103,-74.004903,Manhattan
10014,40.734012,-74.006746,Manhattan
10016,40.745224,-73.978297,Manhattan
10017,40.75236,-73.972493,Manhattan
10018,40.755319,-73.993114,Manhattan
10019,40.765823,-73.987169,Manhattan
10020,40.758236,-73.978833,Manhattan
10021,40.769258,-73.958751,Manhattan
10022,40.758628,-73.967948,Manhattan
10023,40.775921,-73.982607,Manhattan
10024,40.798452,-73.974428,Manhattan
10025,40.798601,-73.966622,Manhattan
10026,40.802381,-73.952681,Manhattan
10027,40.811407,-73.95306,Manhattan
10028,40.776441,-73.953509,Manhattan
10029,40.791763,-73.94397,Manhattan
10030,40.818267,-73.942856,Manhattan
10031,40.825288,-73.950045,Manhattan
10032,40.838815,-73.942836,Manhattan
10033,40.850545,-73.933983,Manhattan
10034,40.867076,-73.924312,Manhattan
10035,40.795455,-73.929655,Manhattan
10036,40.75926,-73.98986,Manhattan
10037,40.812957,-73.937376,Manhattan
10038,40.709278,-74.002562,Manhattan
10039,40.830867,-73.936218,Manhattan
10040,40.858305,-73.930549,Manhattan
10044,40.761915,-73.949962,Manhattan
10065,40.764612,-73.963122,Manhattan
10069,40.775906,-73.990358,Manhattan
10075,40.773361,-73.956216,Manhattan
10103,40.76078,-73.97767,Manhattan
10110,40.754499,-73.982256,Manhattan
10111,40.759114,-73.977596,Manhattan
10112,40.759167,-73.979668,Manhattan
10115,40.810852,-73.963744,Manhattan
10119,40.75031,-73.992979,Manhattan
10128,40.781432,-73.950013,Manhattan
10152,40.758404,-73.972031,Manhattan
10153,40.763622,-73.972439,Manhattan
10154,40.757779,-73.972487,Manhattan
10162,40.7693,-73.949915,Manhattan
10165,40.752131,-73.978722,Manhattan
10167,40.754648,-73.974771,Manhattan
10168,40.751448,-73.977103,Manhattan
10169,40.754391,-73.976098,Manhattan
10170,40.752625,-73.975877,Manhattan
10171,40.755899,-73.973858,Manhattan
10172,40.755273,-73.974315,Manhattan
10173,40.754131,-73.979364,Manhattan
10174,40.751441,-73.975003,Manhattan
10177,40.755139,-73.975934,Manhattan
10199,40.751393,-73.997229,Manhattan
10271,40.708205,-74.010504,Manhattan
10278,40.715182,-74.003778,Manhattan
10279,40.712626,-74.008669,Manhattan
10280,40.708538,-74.01665,Manhattan
10282,40.716921,-74.015066,Manhattan
10301,40.627456,-74.094407,Staten Island
10302,40.630688,-74.137776,Staten Island
10303,40.629885,-74.17413,Staten Island
10304,40.609227,-74.092575,Staten Island
10305,40.596691,-74.074866,Staten Island
10306,40.571768,-74.12595,Staten Island
10307,40.509183,-74.237785,Staten Island
10308,40.551884,-74.147646,Staten Island
10309,40.531346,-74.219857,Staten Island
10310,40.632648,-74.116148,Staten Island
10311,40.605241,-74.179503,Staten Island
10312,40.545237,-74.180443,Staten Island
10314,40.599263,-74.165748,Staten Island
10452,40.837393,-73.923437,Bronx
10453,40.852779,-73.912332,Bronx
10454,40.805489,-73.916585,Bronx
10455,40.81471,-73.908593,Bronx
10456,40.829881,-73.90812,Bronx
10457,40.84715,-73.89868,Bronx
10458,40.862543,-73.888143,Bronx
10459,40.825867,-73.892942,Bronx
10460,40.841758,-73.879571,Bronx
10461,40.847381,-73.840584,Bronx
10462,40.84328,-73.860389,Bronx
10463,40.880678,-73.90654,Bronx
10464,40.867787,-73.79992,Bronx
10465,40.822615,-73.822239,Bronx
10466,40.890964,-73.846239,Bronx
10467,40.869953,-73.865746,Bronx
10468,40.868093,-73.89973,Bronx
10469,40.868607,-73.848133,Bronx
10470,40.88953,-73.872662,Bronx
10471,40.898868,-73.903328,Bronx
10472,40.829556,-73.869336,Bronx
10473,40.81869,-73.858474,Bronx
10474,40.810549,-73.884367,Bronx
10475,40.875169,-73.823817,Bronx
11004,40.746204,-73.711478,Queens
11005,40.756596,-73.714178,Queens
11010,40.700587,-73.675018,Queens
11020,40.771442,-73.714819,Queens
11021,40.784319,-73.731488,Queens
11023,40.798909,-73.733653,Queens
11024,40.816251,-73.742872,Queens
11030,40.793409,-73.688549,Queens
11040,40.745347,-73.680292,Queens
11042,40.758534,-73.697235,Queens
11050,40.8399,-73.693124,Queens
11096,40.621346,-73.75699,Queens
11101,40.747155,-73.93975,Queens
11102,40.772884,-73.926295,Queens
11103,40.762574,-73.913447,Queens
11104,40.744634,-73.920201,Queens
11105,40.778877,-73.906769,Queens
11106,40.762211,-73.931528,Queens
11109,40.745115,-73.956928,Queens
11201,40.693682,-73.989693,Brooklyn
11203,40.649591,-73.934371,Brooklyn
11204,40.618779,-73.984826,Brooklyn
11205,40.694696,-73.966286,Brooklyn
11206,40.701954,-73.942358,Brooklyn
11207,40.670747,-73.894209,Brooklyn
11208,40.669769,-73.871372,Brooklyn
11209,40.621982,-74.030324,Brooklyn
11210,40.628147,-73.946324,Brooklyn
11211,40.712597,-73.953098,Brooklyn
11212,40.662936,-73.913029,Brooklyn
11213,40.671078,-73.936336,Brooklyn
11214,40.599148,-73.99609,Brooklyn
11215,40.662688,-73.98674,Brooklyn
11216,40.680768,-73.949316,Brooklyn
11217,40.682306,-73.978099,Brooklyn
11218,40.643468,-73.976046,Brooklyn
11219,40.632667,-73.996669,Brooklyn
11220,40.641221,-74.016862,Brooklyn
11221,40.69134,-73.927879,Brooklyn
11222,40.72779,-73.947605,Brooklyn
11223,40.597139,-73.973428,Brooklyn
11224,40.577372,-73.988706,Brooklyn
11225,40.663046,-73.954219,Brooklyn
11226,40.646448,-73.956649,Brooklyn
11228,40.616695,-74.013047,Brooklyn
11229,40.601293,-73.944493,Brooklyn
11230,40.622164,-73.965105,Brooklyn
11231,40.677916,-74.005154,Brooklyn
11232,40.656546,-74.007355,Brooklyn
11233,40.678308,-73.919936,Brooklyn
11234,40.60508,-73.911721,Brooklyn
11235,40.583949,-73.949096,Brooklyn
11236,40.639413,-73.900664,Brooklyn
11237,40.70416,-73.921139,Brooklyn
11238,40.679171,-73.963804,Brooklyn
11239,40.647735,-73.879477,Brooklyn
11351,40.780747,-73.825301,Queens
11354,40.768208,-73.827403,Queens
11355,40.751452,-73.821031,Queens
11356,40.78485,-73.841279,Queens
11357,40.786393,-73.810864,Queens
11358,40.760471,-73.796371,Queens
11359,40.791781,-73.776875,Queens
11360,40.780379,-73.78123,Queens
11361,40.764191,-73.772775,Queens
11362,40.756574,-73.737845,Queens
11363,40.772616,-73.746526,Queens
11364,40.745289,-73.760586,Queens
11365,40.739634,-73.79449,Queens
11366,40.728152,-73.785019,Queens
11367,40.730145,-73.82703,Queens
11368,40.751718,-73.851822,Queens
11369,40.763365,-73.872374,Queens
11370,40.765393,-73.893243,Queens
11371,40.773894,-73.873475,Queens
11372,40.75169,-73.883638,Queens
11373,40.738837,-73.878535,Queens
11374,40.726418,-73.861526,Queens
11375,40.720934,-73.846151,Queens
11377,40.744819,-73.905156,Queens
11378,40.724744,-73.909639,Queens
11379,40.716748,-73.879601,Queens
11385,40.700671,-73.889433,Queens
11411,40.694021,-73.736216,Queens
11412,40.698095,-73.758986,Queens
11413,40.671659,-73.752568,Queens
11414,40.657604,-73.844804,Queens
11415,40.707917,-73.828212,Queens
11416,40.684654,-73.849548,Queens
11417,40.676446,-73.844443,Queens
11418,40.700272,-73.835971,Queens
11419,40.688673,-73.822918,Queens
11420,40.673583,-73.81773,Queens
11421,40.694062,-73.858626,Queens
11422,40.66006,-73.736012,Queens
11423,40.715606,-73.768471,Queens
11424,40.714304,-73.827263,Queens
11425,40.607754,-74.023937,Queens
11426,40.736425,-73.722376,Queens
11427,40.730904,-73.745661,Queens
11428,40.721016,-73.742245,Queens
11429,40.709766,-73.738653,Queens
11430,40.646964,-73.784813,Queens
11432,40.715359,-73.793071,Queens
11433,40.698162,-73.786893,Queens
11434,40.676808,-73.776425,Queens
11435,40.701265,-73.809605,Queens
11436,40.675807,-73.796622,Queens
11451,40.701282,-73.795972,Queens
11501,40.746286,-73.638905,Queens
11507,40.770847,-73.65226,Queens
11509,40.587963,-73.728528,Queens
11510,40.650127,-73.607709,Queens
11514,40.749892,-73.612477,Queens
11516,40.625787,-73.726685,Queens
11518,40.637472,-73.666807,Queens
11520,40.649401,-73.582951,Queens
11530,40.726854,-73.637009,Queens
11542,40.872605,-73.628622,Queens
11545,40.826321,-73.589365,Queens
11547,40.83367,-73.642687,Queens
11548,40.812868,-73.627405,Queens
11549,40.717289,-73.602775,Queens
11550,40.701475,-73.621108,Queens
11552,40.692979,-73.652416,Queens
11553,40.70643,-73.591622,Queens
11554,40.720115,-73.558861,Queens
11556,40.719678,-73.58386,Queens
11557,40.637176,-73.691976,Queens
11558,40.605357,-73.649046,Queens
11559,40.603733,-73.717352,Queens
11560,40.880757,-73.588724,Queens
11561,40.589081,-73.648178,Queens
11563,40.657253,-73.673718,Queens
11565,40.675061,-73.671667,Queens
11566,40.663194,-73.554014,Queens
11568,40.786929,-73.59649,Queens
11569,40.589785,-73.582303,Queens
11570,40.666066,-73.638409,Queens
11572,40.631772,-73.636624,Queens
11575,40.680422,-73.584877,Queens
11576,40.798032,-73.647275,Queens
11577,40.783264,-73.638877,Queens
11579,40.844016,-73.644006,Queens
11580,40.6749,-73.702154,Queens
11581,40.651028,-73.715325,Queens
11590,40.755182,-73.574338,Queens
11596,40.759667,-73.642309,Queens
11598,40.630935,-73.712339,Queens
11691,40.601278,-73.761651,Queens
11692,40.594095,-73.792896,Queens
11693,40.590692,-73.809749,Queens
11694,40.57827,-73.844762,Queens
11697,40.555688,-73.920663,Queens
